Шифра,Артикал,Продажна Цена,Единична Цена,Опис,Достапност,Редовна Цена,ДДВ,Последно ажурирање
756,ЈОГУРТ ЗДРАВЈЕ 1 Л,74,бр.            ,,Има,74,5,
757,ЛЕНТИ ЗА ДЕПИЛАЦИЈА,168,бр.            ,,Има,168,18,
758,БОНУКС 8 КГ,480,бр.            ,,Има,480,18,
759,КОЛБАС ПИЛЕШКИ НИКСИ,127,кгр.           ,,Има,127,5,
760,СУСАМЛИ 40 ГР,16,бр.            ,,Има,16,5,
761,МЕРИКС 6 КГ + СИЛАН,850,бр.            ,,Има,850,18,
762,ПЕРВОЛ 1 Л,100,бр.            ,,Има,100,18,
763,КУБАНИТА 100ГР,52,бр.            ,,Има,52,18,
764,МИЛКА 80 ГР,63,бр.            ,,Има,63,5,
765,"ВИЗИЈАНА 1,5Л",26,бр.            ,,Има,26,18,
766,ВЕРОНА 250ГР,50,бр.            ,,Има,50,5,
767,СИНАЛКО ПАК 2Л,160,бр.            ,,Има,160,18,
768,МИЛКА 100ГР,63,бр.            ,,Има,63,10,
769,ПАКЕТЧЕ ПИОНИР,265,бр.            ,,Има,265,5,
770,"ВИЗИЈАНА 1,5Л ПАКЕТ",120,бр.            ,,Има,120,18,
771,МАСЛИНКА 2.5 КГ ЛИМЕНКА,815,бр.            ,,Има,815,5,
772,ПАЛОМА МАРАМИЦИ 10/1,43,бр.            ,,Има,43,18,
773,ВИЗИЈАНА 6Л,77,бр.            ,,Има,77,18,
774,ГРАШОК ЈУНЕШКО ТАКОВО,83,бр.            ,,Има,83,5,
775,КРЕМ ВЕРОНА 400ГР,100,бр.            ,,Има,100,10,
776,АЛБЕНИ 31ГР,19,бр.            ,,Има,19,5,
777,МЕТРО,19,бр.            ,,Има,19,5,
778,ОРС ЗА СТАКЛО,63,бр.            ,,Има,63,18,
779,ЛЕБ СЕЧКАН ФРИ-ПЕК,33,бр.            ,,Има,33,5,
780,ШЛАГ ПЕНА ХОХВАЛД 250МЛ,66,бр.            ,,Има,66,5,
781,БОРА ПЕЛЕНИ 7-18,270,бр.            ,,Има,270,5,
782,ПЕЛЕНИ МАГНОЛИЈА 12-25,220,бр.            ,,Има,220,5,
783,ФИЗИ БУМ РОШЕН,300,кгр.           ,,Има,300,10,
784,АЛПСКА МЕИН 400ГР,120,бр.            ,,Има,120,5,
785,АГРОБЛОК 20 ГР,8,бр.            ,,Има,8,5,
786,ПИЛ ЏИГЕРИ СО СРЦЕ,65,бр.            ,,Има,65,5,
787,ЛЕБ Ж.ЛУКС 7 ДНЕВЕН,49,бр.            ,,Има,49,5,
788,ЛЕБ Ж.ЛУКС РЖАН И СО СОНЧОГЛЕД,70,бр.            ,,Има,70,5,
789,ЛЕБ РУСТИКАЛЕН ФРИ-ПЕК,50,бр.            ,,Има,50,5,
790,ЛЕБ БАВАРСКИ ГРАХАМ НОРДИК,65,бр.            ,,Има,65,5,
791,МАЈОНЕЗ МИРАНА,60,бр.            ,,Има,60,5,
792,ТУНА АДРИЈУС 98ГР,35,бр.            ,,Има,35,5,
793,ТУНАМЕЏИК 185 ПЛАВА,48,бр.            ,,Има,48,5,
794,ТУНА МЕЏИК 95 ПЛАВА,30,бр.            ,,Има,30,5,
795,ТУНА МЕЏИК 95 ЖОЛТА,48,бр.            ,,Има,48,5,
796,БОРАНИЈА 1 КГ,116,бр.            ,,Има,116,5,
797,ПЛАЗМА МИНИ,10,бр.            ,,Има,10,5,
798,ЧИНИИ ПЛАСТИЧНИ 50/1,115,бр.            ,,Има,115,18,
799,ЈОГУРТ ГОРГИЕВИ,53,бр.            ,,Има,53,5,
800,ХИМАЛАЈСКА СОЛ 350  ГР,65,бр.            ,,Има,65,5,
801,ПЧЕНИЦА 500 ГР КИБЕЛА,40,бр.            ,,Има,40,10,
802,БОН КАФЕ МИНАС 500ГР,288,бр.            ,,Има,288,18,
803,ЧИА СЕМЕ,35,бр.            ,,Има,35,10,
804,МАСЛИНКА ВАКУМ 500 ГР,165,бр.            ,,Има,165,5,
805,ПЕЛЕНИ ЕВИ БЕЈБИ 4/58БР,450,бр.            ,,Има,450,5,
806,ПЕЛЕНИ МАГНОЛИЈА 25-30,240,бр.            ,,Има,240,5,
807,АГРОПЛОД КАФЕ 100ГР,58,бр.            ,,Има,58,18,
808,АГРОПЛОД КАФЕ 180 ГР,109,бр.            ,,Има,109,18,
809,БРЕФ ГЕЛ 360МЛ,180,бр.            ,,Има,180,18,
810,САПУН МЕРИКС,99,бр.            ,,Има,99,18,
811,НИВЕА РОЛОН,180,бр.            ,,Има,180,18,
812,СОМАТ ТАБЛЕТИ 100 бр,875,бр.            ,,Има,875,18,
813,ДОВЕ САПУН,54,бр.            ,,Има,54,18,
814,ПИЛЕШКА ЕКСТРА 1+1+ЛОВЕЧКА,109,бр.            ,,Има,109,5,
815,"МАЈ ХЕРО ТЕЧЕН ДЕТЕРГЕНТ 2,750",250,бр.            ,,Има,250,18,
816,КАРНЕКС 75 ГР,22,бр.            ,,Има,22,5,
817,ЛЕБЛЕБИЈА 300 ГР,84,бр.            ,,Има,84,10,
818,СИЈАЛИЦИ ФИЛИПС,38,бр.            ,,Има,38,18,
819,АРКО КРЕМА 150МЛ,110,бр.            ,,Има,110,18,
820,КОЛБАС КРАЊСКИ,136,бр.            ,,Има,136,5,
821,ТУНА ФИЛЕ ТИМКО 185 ГР,90,бр.            ,,Има,90,5,
822,ТУНА ФИЛЕ ТИМКО 80 ГР,37,бр.            ,,Има,37,5,
823,БИК ВИЛКИНСОН,76,бр.            ,,Има,76,18,
824,СЕМКА 130ГР,47,бр.            ,,Има,47,10,
825,МЕДЕНИ 500ГР ЧОКОЛАДНИ,116,бр.            ,,Има,116,5,
826,ГРАШОК 1КГ,116,бр.            ,,Има,116,5,
827,ЗЛАТНА МЕШАВИНА 1 КГ,120,бр.            ,,Има,120,5,
828,ЧАЈ ПЛАНИНСКИ АЛКАЛОИД,82,бр.            ,,Има,82,18,
829,ВЛОШКИ ЗА ИНКОНТИН 20/1,120,бр.            ,,Има,120,5,
830,САНО ЏУС 1/4,189,бр.            ,,Има,189,18,
831,ФИНИШ РЕФУС,11,бр.            ,,Има,11,18,
832,РЕЛАКС ПАРФЕМ,190,бр.            ,,Има,190,18,
833,КАНЕЛОНИ ХЕЛИОС 250ГР,72,бр.            ,,Има,72,5,
834,ОРЕВ 200 ГР,127,бр.            ,,Има,127,5,
835,КОЛИНОС 50МЛ,40,бр.            ,,Има,40,18,
836,ОМЕКНУВАЧ АВЕО 2Л,140,бр.            ,,Има,140,18,
837,ЧЕТКА ЗА ЗАБИ АКВАФРЕШ 2/1,130,бр.            ,,Има,130,18,
838,АРКО КРЕМА ЗА БРИЧЕЊЕ 65ГР,46,бр.            ,,Има,46,18,
839,АРКО ПЕНА ЗА БРИЧЕЊЕ,115,бр.            ,,Има,115,18,
840,БАТЕРИЈА 9 В,112,бр.            ,,Има,112,18,
841,БАТЕРИЈА ЦР,35,бр.            ,,Има,35,18,
842,БАТЕРИЈА 9+4 АЛКАЛНА,149,бр.            ,,Има,149,18,
843,САРДИНА KVIN,50,бр.            ,,Има,50,5,
844,СЈАЈ ЕЛВИ 1 Л,52,бр.            ,,Има,52,18,
845,СЈАЈ ЕЛВИ 5Л,195,бр.            ,,Има,195,18,
846,ТЕЧЕН САПУН ЕЛВИ 5Л,225,бр.            ,,Има,225,18,
847,ТЕЧЕН САПУН ЕЛВИ 1Л,55,бр.            ,,Има,55,18,
848,ТАБЛЕТИ ДОМИНО 22+6,210,бр.            ,,Има,210,18,
